,im_path,set_name,sharpness,noise,motion_blur,contrast,saturation,lines,symmetry,faces,number_of_faces,faces_sharp_all,faces_noise_all,faces_motion_blur_all,eye_ear_list
269,185/img-2011-11-23-1727-2.JPG,185,38.0,23.0,47.0,"[0.5031771, 0.252089, 0.7490196190774441]",0.2927401065826416,"[-1.1150225708181911, 56.79788728465171]","[10.233871051523893, 10.37634307898574]","rectangles[[(1375, 1016) (1837, 1478)]]",1,[14.0],[6.0],[28.0],"[(0.3841708504383062, 0.3458359503048246)]"
270,185/img-2011-11-23-1727-3.JPG,185,41.0,29.0,35.0,"[0.52530384, 0.20316859, 0.5725490301847458]",0.2754207253456116,"[1.1296168463799159, 119.4361754243663]","[10.26899745129899, 10.309608143360643]","rectangles[[(1272, 1221) (1734, 1684)]]",1,[9.0],[5.0],[15.0],"[(0.2612701251000456, 0.23643594389368106)]"
271,186/img-2011-12-12-2053-1.jpg,186,47.0,27.0,70.0,"[0.408032, 0.25317755, 0.6549019776284695]",0.31277716159820557,"[-0.7288547264526309, 187.6832437912346]","[10.130901735922137, 10.302872516590144]","rectangles[[(751, 257) (803, 308)], [(212, 229) (287, 304)], [(640, 274) (702, 336)], [(654, 153) (705, 205)], [(360, 262) (412, 314)]]",5,"[12.0, 11.0, 14.0, 11.0, 17.0]","[0.0, 2.0, 1.0, 0.0, 0.0]","[21.0, 18.0, 24.0, 19.0, 24.0]","[(0.3, 0.2487592975524973), (0.31687511114881484, 0.31304951684997057), (0.26050411840399457, 0.27607881518711636), (0.308113883008419, 0.3), (0.3863046411139711, 0.4)]"
272,186/img-2011-12-12-2053-2.jpg,186,49.0,28.0,73.0,"[0.41757497, 0.2583093, 0.6705882512032986]",0.29225945472717285,"[0.6475910655379813, 195.6016359849784]","[10.295130673098418, 10.283967571075502]","rectangles[[(674, 274) (736, 336)], [(237, 229) (312, 304)], [(780, 280) (832, 331)], [(677, 164) (728, 216)], [(453, 322) (515, 384)], [(394, 268) (446, 320)]]",6,"[12.0, 12.0, 13.0, 11.0, 12.0, 18.0]","[1.0, 2.0, 0.0, 0.0, 1.0, 0.0]","[20.0, 20.0, 23.0, 20.0, 20.0, 29.0]","[(0.27607881518711636, 0.2), (0.34826301657349623, 0.3543877503641782), (0.2118033988749895, 0.27607881518711636), (0.34826301657349623, 0.3), (0.2789532026422449, 0.30213051959014864), (0.2711630722733202, 0.3333333333333333)]"
273,187/img-2011-12-12-2053-3.jpg,187,52.0,30.0,81.0,"[0.3811006, 0.26393163, 0.662745114415884]",0.30211031436920166,"[0.16789592325037456, 59.841457201508724]","[10.094623728631804, 10.27046886466955]","rectangles[[(665, 222) (717, 274)], [(625, 113) (677, 164)], [(262, 121) (337, 196)], [(769, 211) (821, 262)], [(515, 274) (577, 336)], [(391, 198) (453, 260)]]",6,"[13.0, 11.0, 16.0, 12.0, 10.0, 17.0]","[0.0, 0.0, 2.0, 0.0, 1.0, 1.0]","[19.0, 20.0, 19.0, 22.0, 18.0, 27.0]","[(0.2222222222222222, 0.26475424859373686), (0.3333333333333333, 0.3), (0.15, 0.11043152607484653), (0.27607881518711636, 0.3333333333333333), (0.23702566033614228, 0.35669590418318964), (0.22086305214969307, 0.2777777777777778)]"
274,187/img-2011-12-12-2053-4.jpg,187,53.0,32.0,87.0,"[0.3596716, 0.26600888, 0.662745114415884]",0.2650561034679413,"[1.468216474376602, 68.3593446428504]","[10.110823136957542, 10.306542089487403]","rectangles[[(252, 94) (315, 156)], [(757, 170) (809, 222)], [(660, 191) (722, 253)], [(607, 78) (659, 130)], [(366, 182) (417, 234)]]",5,"[12.0, 13.0, 18.0, 12.0, 19.0]","[1.0, 0.0, 1.0, 0.0, 0.0]","[20.0, 25.0, 27.0, 22.0, 27.0]","[(0.308113883008419, 0.3333333333333333), (0.3312945782245396, 0.3333333333333333), (0.11043152607484653, 0.07905694150420949), (0.3957280903120923, 0.3333333333333333), (0.3402548630546644, 0.29851115706299675)]"
275,188/img-2011-12-17-1759-1.JPG,188,31.0,10.0,56.0,"[0.45453048, 0.26340103, 0.7058823555707932]",0.3552924394607544,"[-1.5263811115479857, 180.17769007288334]","[10.235433136496923, 10.267151803609304]","rectangles[[(1272, 1016) (1734, 1478)], [(2445, 1868) (2534, 1957)]]",2,"[5.0, 6.0]","[2.0, 2.0]","[11.0, 11.0]","[(0.16450636551820672, 0.18307540974597297), (0.41242597416568527, 0.2857142857142857)]"
276,188/img-2011-12-17-1759-2.JPG,188,35.0,9.0,52.0,"[0.5013369, 0.26753572, 0.7058823555707932]",0.41361498832702637,"[-1.5514937051762134, 259.04825805243314]","[10.21321987570483, 10.319511856834271]","rectangles[[(1118, 1119) (1580, 1581)], [(1418, 1704) (1739, 2025)]]",2,"[5.0, 6.0]","[3.0, 4.0]","[12.0, 13.0]","[(0.28114481595577656, 0.2813040783664283), (0.3328439055686575, 0.33740869966715636)]"
277,188/img-2011-12-17-1759.JPG,188,33.0,11.0,54.0,"[0.45699826, 0.2599044, 0.7137254998087883]",0.3845686912536621,"[-0.19297080996556967, 88.64536084872124]","[10.245557985539811, 10.29982503303545]","rectangles[[(1034, 911) (1589, 1466)], [(1529, 1581) (1991, 2043)]]",2,"[5.0, 7.0]","[3.0, 3.0]","[9.0, 19.0]","[(0.3448385472642021, 0.3725444207289267), (0.35046710724545044, 0.33253247365589345)]"
278,189/img-2011-11-06-1051-1.JPG,189,52.0,30.0,75.0,"[0.46346438, 0.23639761, 0.6588235348463058]",0.282512903213501,"[1.4438235371808177, 142.1442928857856]","[10.256159722618372, 10.341137035852563]","rectangles[[(2162, 468) (2429, 736)], [(1300, 1509) (1568, 1776)], [(2523, 1383) (2844, 1704)], [(1657, 1360) (1924, 1628)], [(1330, 825) (1597, 1093)], [(2630, 562) (2951, 883)]]",6,"[7.0, 7.0, 8.0, 11.0, 9.0, 9.0]","[6.0, 6.0, 6.0, 8.0, 7.0, 6.0]","[13.0, 14.0, 14.0, 18.0, 15.0, 16.0]","[(0.1498128508316767, 0.14595127662315596), (0.36988463441224345, 0.34418807361217996), (0.2595450265762679, 0.3113687673432998), (0.3174471140123794, 0.31486568747027965), (0.23150009548516837, 0.2218230466678738), (0.38890777386478753, 0.38894007429287886)]"
